PID 17 is forked from PID 12
PID 16 is forked from PID 12
PID 15 is forked from PID 12
PID 14 is forked from PID 12
PID 13 is forked from PID 12
Parent PID 12
Child PIDs 13 14 15 16 17


Jiffies 6596, PID 15, -> Running
Jiffies 6611, PID 15, -> Ready (Preempted)
Jiffies 6611, PID 17, -> Running
Jiffies 6626, PID 13, -> Ready (Signal)
Jiffies 6626, PID 17, -> Ready (Preempted)
Jiffies 6626, PID 13, -> Running
Jiffies 6626, PID 12, -> Ready (Signal)
Jiffies 6626, PID 12, -> Running
Jiffies 6626, PID 13, Exited
Jiffies 6627, PID 12, Exited
Jiffies 6630, PID 16, -> Running
Jiffies 6645, PID 16, -> Ready (Preempted)
Jiffies 6645, PID 15, -> Running
Jiffies 6660, PID 14, -> Ready (Signal)
Jiffies 6660, PID 15, -> Ready (Preempted)
Jiffies 6660, PID 14, -> Running
