Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 5507, PID 17, -> Ready (Preempted)
Jiffies 5507, PID 16, -> Running
Jiffies 5512, PID 16, -> Ready (Preempted)
Jiffies 5512, PID 15, -> Running
Jiffies 5517, PID 15, -> Ready (Preempted)
Jiffies 5517, PID 14, -> Running
Jiffies 5522, PID 14, -> Ready (Preempted)
Jiffies 5522, PID 13, -> Running
Jiffies 5527, PID 13, -> Ready (Preempted)
Jiffies 5527, PID 17, -> Running
Jiffies 5532, PID 17, -> Ready (Preempted)
Jiffies 5532, PID 16, -> Running
Jiffies 5537, PID 16, -> Ready (Preempted)
Jiffies 5537, PID 15, -> Running
Jiffies 5542, PID 15, -> Ready (Preempted)
Jiffies 5542, PID 14, -> Running
Jiffies 5547, PID 14, -> Ready (Preempted)
Jiffies 5547, PID 13, -> Running
Jiffies 5552, PID 13, -> Ready (Preempted)
Jiffies 5552, PID 17, -> Running
Jiffies 5557, PID 17, -> Ready (Preempted)
Jiffies 5557, PID 16, -> Running
Jiffies 5562, PID 16, -> Ready (Preempted)
Jiffies 5562, PID 15, -> Running
Jiffies 5567, PID 15, -> Ready (Preempted)
Jiffies 5567, PID 14, -> Running
Jiffies 5572, PID 14, -> Ready (Preempted)
Jiffies 5572, PID 13, -> Running
Jiffies 5577, PID 13, -> Ready (Preempted)
Jiffies 5577, PID 17, -> Running
Jiffies 5582, PID 17, -> Ready (Preempted)
Jiffies 5582, PID 16, -> Running
Jiffies 5587, PID 16, -> Ready (Preempted)
Jiffies 5587, PID 15, -> Running
Jiffies 5592, PID 15, -> Ready (Preempted)
Jiffies 5592, PID 14, -> Running
Jiffies 5597, PID 14, -> Ready (Preempted)
Jiffies 5597, PID 13, -> Running
Jiffies 5602, PID 13, -> Ready (Preempted)
Jiffies 5602, PID 17, -> Running
Jiffies 5607, PID 17, -> Ready (Preempted)
Jiffies 5607, PID 16, -> Running
Jiffies 5612, PID 16, -> Ready (Preempted)
Jiffies 5612, PID 15, -> Running
Jiffies 5617, PID 15, -> Ready (Preempted)
Jiffies 5617, PID 14, -> Running
Jiffies 5622, PID 14, -> Ready (Preempted)
Jiffies 5622, PID 13, -> Running
Jiffies 5627, PID 13, -> Ready (Preempted)
Jiffies 5627, PID 17, -> Running
Jiffies 5632, PID 17, -> Ready (Preempted)
Jiffies 5632, PID 16, -> Running
Jiffies 5637, PID 16, -> Ready (Preempted)
Jiffies 5637, PID 15, -> Running
Jiffies 5642, PID 15, -> Ready (Preempted)
Jiffies 5642, PID 14, -> Running
Jiffies 5647, PID 14, -> Ready (Preempted)
Jiffies 5647, PID 13, -> Running
Jiffies 5652, PID 13, -> Ready (Preempted)
Jiffies 5652, PID 17, -> Running
Jiffies 5657, PID 17, -> Ready (Preempted)
Jiffies 5657, PID 16, -> Running
Jiffies 5662, PID 16, -> Ready (Preempted)
Jiffies 5662, PID 15, -> Running
Jiffies 5667, PID 15, -> Ready (Preempted)
Jiffies 5667, PID 14, -> Running
Jiffies 5672, PID 14, -> Ready (Preempted)
Jiffies 5672, PID 13, -> Running
Jiffies 5677, PID 13, -> Ready (Preempted)
Jiffies 5677, PID 17, -> Running
Jiffies 5682, PID 17, -> Ready (Preempted)
Jiffies 5682, PID 16, -> Running
Jiffies 5687, PID 16, -> Ready (Preempted)
Jiffies 5687, PID 15, -> Running
Jiffies 5692, PID 15, -> Ready (Preempted)
Jiffies 5692, PID 14, -> Running
Jiffies 5697, PID 14, -> Ready (Preempted)
Jiffies 5697, PID 13, -> Running
Jiffies 5702, PID 13, -> Ready (Preempted)
Jiffies 5702, PID 17, -> Running
Jiffies 5707, PID 17, -> Ready (Preempted)
Jiffies 5707, PID 16, -> Running
Jiffies 5712, PID 16, -> Ready (Preempted)
Jiffies 5712, PID 15, -> Running
Jiffies 5717, PID 15, -> Ready (Preempted)
Jiffies 5717, PID 14, -> Running
Jiffies 5722, PID 14, -> Ready (Preempted)
Jiffies 5722, PID 13, -> Running
Jiffies 5727, PID 13, -> Ready (Preempted)
Jiffies 5727, PID 17, -> Running
Jiffies 5732, PID 17, -> Ready (Preempted)
Jiffies 5732, PID 16, -> Running
Jiffies 5737, PID 16, -> Ready (Preempted)
Jiffies 5737, PID 15, -> Running
Jiffies 5742, PID 15, -> Ready (Preempted)
Jiffies 5742, PID 14, -> Running
Jiffies 5747, PID 14, -> Ready (Preempted)
Jiffies 5747, PID 13, -> Running
Jiffies 5752, PID 13, -> Ready (Preempted)
Jiffies 5752, PID 17, -> Running
Jiffies 5757, PID 17, -> Ready (Preempted)
Jiffies 5757, PID 16, -> Running
Jiffies 5762, PID 16, -> Ready (Preempted)
Jiffies 5762, PID 15, -> Running
Jiffies 5767, PID 15, -> Ready (Preempted)
Jiffies 5767, PID 14, -> Running
Jiffies 5772, PID 14, -> Ready (Preempted)
Jiffies 5772, PID 13, -> Running
Jiffies 5777, PID 13, -> Ready (Preempted)
Jiffies 5777, PID 17, -> Running
Jiffies 5782, PID 17, -> Ready (Preempted)
Jiffies 5782, PID 16, -> Running
Jiffies 5787, PID 16, -> Ready (Preempted)
Jiffies 5787, PID 15, -> Running
Jiffies 5792, PID 15, -> Ready (Preempted)
Jiffies 5792, PID 14, -> Running
Jiffies 5797, PID 14, -> Ready (Preempted)
Jiffies 5797, PID 13, -> Running
Jiffies 5802, PID 13, -> Ready (Preempted)
Jiffies 5802, PID 17, -> Running
Jiffies 5807, PID 17, -> Ready (Preempted)
Jiffies 5807, PID 16, -> Running
Jiffies 5812, PID 16, -> Ready (Preempted)
Jiffies 5812, PID 15, -> Running
Jiffies 5817, PID 15, -> Ready (Preempted)
Jiffies 5817, PID 14, -> Running
Jiffies 5822, PID 14, -> Ready (Preempted)
Jiffies 5822, PID 13, -> Running
Jiffies 5827, PID 13, -> Ready (Preempted)
Jiffies 5827, PID 17, -> Running
Jiffies 5832, PID 17, -> Ready (Preempted)
Jiffies 5832, PID 16, -> Running
Jiffies 5837, PID 16, -> Ready (Preempted)
Jiffies 5837, PID 15, -> Running
Jiffies 5842, PID 15, -> Ready (Preempted)
Jiffies 5842, PID 14, -> Running
Jiffies 5847, PID 14, -> Ready (Preempted)
Jiffies 5847, PID 13, -> Running
Jiffies 5852, PID 13, -> Ready (Preempted)
Jiffies 5852, PID 17, -> Running
Jiffies 5857, PID 17, -> Ready (Preempted)
Jiffies 5857, PID 16, -> Running
Jiffies 5862, PID 16, -> Ready (Preempted)
Jiffies 5862, PID 15, -> Running
Jiffies 5867, PID 15, -> Ready (Preempted)
Jiffies 5867, PID 14, -> Running
Jiffies 5872, PID 14, -> Ready (Preempted)
Jiffies 5872, PID 13, -> Running
Jiffies 5877, PID 13, -> Ready (Preempted)
Jiffies 5877, PID 17, -> Running
Jiffies 5882, PID 17, -> Ready (Preempted)
Jiffies 5882, PID 16, -> Running
Jiffies 5887, PID 16, -> Ready (Preempted)
Jiffies 5887, PID 15, -> Running
Jiffies 5892, PID 15, -> Ready (Preempted)
Jiffies 5892, PID 14, -> Running
Jiffies 5897, PID 14, -> Ready (Preempted)
Jiffies 5897, PID 13, -> Running
Jiffies 5902, PID 13, -> Ready (Preempted)
Jiffies 5902, PID 17, -> Running
Jiffies 5907, PID 17, -> Ready (Preempted)
Jiffies 5907, PID 16, -> Running
Jiffies 5912, PID 16, -> Ready (Preempted)
Jiffies 5912, PID 15, -> Running
Jiffies 5917, PID 15, -> Ready (Preempted)
Jiffies 5917, PID 14, -> Running
Jiffies 5922, PID 14, -> Ready (Preempted)
Jiffies 5922, PID 13, -> Running
Jiffies 5927, PID 13, -> Ready (Preempted)
Jiffies 5927, PID 17, -> Running
Jiffies 5932, PID 17, -> Ready (Preempted)
Jiffies 5932, PID 16, -> Running
Jiffies 5937, PID 16, -> Ready (Preempted)
Jiffies 5937, PID 15, -> Running
Jiffies 5942, PID 15, -> Ready (Preempted)
Jiffies 5942, PID 14, -> Running
Jiffies 5947, PID 14, -> Ready (Preempted)
Jiffies 5947, PID 13, -> Running
Jiffies 5952, PID 13, -> Ready (Preempted)
Jiffies 5952, PID 17, -> Running
Jiffies 5957, PID 17, -> Ready (Preempted)
Jiffies 5957, PID 16, -> Running
Jiffies 5962, PID 16, -> Ready (Preempted)
